ENTIDAD_RES,MUNICIPIO_RES,naci_19,tasa_nat,muer_19,tasa_mor
1,1,15682,19.6760392,5415,6.79414311
1,2,1058,23.25683637,161,3.539083795
1,3,1052,19.43254027,323,5.966454854
1,4,377,25.0631565,77,5.119000133
1,5,2406,24.15905211,216,2.168892459
1,6,927,22.14418805,243,5.804787158
1,7,1239,25.2054683,257,5.228252909
1,8,245,29.01812152,46,5.448300367
1,9,451,22.93064877,94,4.779336994
1,10,451,23.953686,71,3.770979392
1,11,1120,31.31202997,111,3.103245827
2,1,9210,19.72948541,3393,7.268419542
2,2,14084,15.03374159,6375,6.804892264
2,3,1956,19.35120055,627,6.203068887
2,4,29549,18.94551649,12006,7.697718062
2,5,1753,19.3342745,702,7.742533198
2,6,0,0,0,0
3,1,1069,15.09545865,187,2.640646182
3,2,1007,17.03488175,184,3.112629834
3,3,3484,13.83247774,2681,10.64433778
3,4,5934,24.88185939,573,2.402646685
3,5,264,15.77249373,13,0.776675827
4,1,914,17.28114956,330,6.239364719
4,2,3954,15.26611455,2446,9.443833131
4,3,3716,16.80733082,1077,4.871231241
4,4,1545,18.60974934,358,4.312161983
4,5,528,18.65328906,125,4.416024871
4,6,868,22.97694364,173,4.579506049
4,7,123,14.72701149,46,5.507662835
4,8,197,20.23418242,62,6.368118324
4,9,1062,19.59988188,189,3.488114573
4,10,586,21.79897329,62,2.306376014
4,11,919,22.30907414,152,3.689857746
4,12,0,0,0,0
5,1,20,18.69158879,4,3.738317757
5,2,3144,22.99001865,410,2.998062228
5,3,485,21.38919515,108,4.762954796
5,4,285,12.64194464,16,0.709723208
5,5,26,14.38053097,10,5.530973451
5,6,564,21.78279005,98,3.784952881
5,7,226,17.36724814,53,4.072850227
5,8,51,17.58014478,6,2.068252327
5,9,1185,21.2838566,206,3.699978447
5,10,1414,18.7994416,205,2.725520175
5,11,206,17.63396679,46,3.937681904
5,12,25,11.95600191,2,0.956480153
5,13,24,12.95896328,1,0.539956803
5,14,117,11.77654756,24,2.415702063
5,15,39,24.3902439,,0
5,16,34,18.52861035,10,5.449591281
5,17,1907,17.79581934,520,4.852556924
5,18,3765,17.41394781,1752,8.103382885
5,19,131,15.96198367,46,5.604971366
5,20,1325,19.82523865,292,4.369033725
5,21,82,12.94396212,40,6.314127861
5,22,517,18.51188771,53,1.897737038
5,23,126,11.46392503,20,1.81967064
5,24,834,18.36963944,183,4.030748221
5,25,3101,20.29370574,555,3.632056333
5,26,56,16.12438814,2,0.575871005
5,27,1982,26.2652231,177,2.345582486
5,28,1097,18.0288264,254,4.174404654
5,29,51,22.03975799,5,2.160760588
5,30,15056,20.76337394,7504,10.34858914
5,31,448,20.2266468,68,3.070116032
5,32,662,15.89473937,236,5.666402555
5,33,1819,17.72040916,661,6.439357038
5,34,73,11.45098039,6,0.941176471
5,35,11345,17.73684433,4358,6.813324599
5,36,283,13.27454383,40,1.876260613
5,37,128,20.3529973,11,1.749085705
5,38,260,20.46921745,68,5.35348764
6,1,430,14.98518906,100,3.484927688
6,2,2293,15.60883298,2330,15.86069814
6,3,298,14.26656453,72,3.44695519
6,4,286,14.75367552,73,3.765798298
6,5,450,16.600878,91,3.35706644
6,6,85,16.03773585,27,5.094339623
6,7,2953,18.29389171,1029,6.374674761
6,8,197,24.10080744,36,4.404208466
6,9,1920,17.03245037,670,5.943615492
6,10,1892,15.7724499,905,7.544432959
7,1,552,32.8297847,104,6.185321756
7,2,562,19.41479255,138,4.767333402
7,3,640,23.20522117,193,6.997824511
7,4,967,32.37903901,104,3.482337184
7,5,752,35.346651,130,6.110458284
7,6,812,27.48163942,157,5.313568213
7,7,387,44.340055,29,3.32263978
7,8,753,28.27850383,141,5.295178008
7,9,713,17.80630338,261,6.518155936
7,10,169,22.16974944,29,3.804276532
7,11,401,20.79767647,93,4.823401276
7,12,1319,30.54725677,229,5.303504018
7,13,1122,36.61640885,186,6.070099863
7,14,1002,53.98997791,101,5.442103562
7,15,1426,32.54890324,269,6.1400105
7,16,335,19.54492415,99,5.77596266
7,17,2177,27.86952403,492,6.298486827
7,18,246,29.13311227,53,6.276646139
7,19,2957,20.96969783,1002,7.105727841
7,20,1114,25.2710857,250,5.671249036
7,21,390,18.52731591,128,6.080760095
7,22,991,70.64946175,103,7.342981393
7,23,3595,46.72411328,388,5.042825022
7,24,622,57.50208006,62,5.731718591
7,25,190,25.91380251,43,5.864702673
7,26,1426,39.48935227,165,4.569244828
7,27,1981,22.61338082,459,5.239546591
7,28,99,18.31637373,43,7.95559667
7,29,136,27.10243125,29,5.779194898
7,30,839,26.62224338,154,4.886561955
7,31,4260,38.18778349,453,4.060813597
7,32,756,25.14300918,162,5.387787681
7,33,169,24.14285714,31,4.428571429
7,34,2378,35.48618158,369,5.506476452
7,35,1249,98.61823924,82,6.474536123
7,36,214,29.42794279,39,5.363036304
7,37,795,23.77108001,228,6.817366344
7,38,731,33.98893384,135,6.277026085
7,39,798,35.41001065,117,5.191693291
7,40,1274,24.80577893,459,8.937089897
7,41,1081,26.19589977,207,5.016236127
7,42,295,28.81140736,43,4.19962887
7,43,271,26.63128931,60,5.896226415
7,44,618,25.20699923,106,4.323530611
7,45,151,27.56480467,26,4.746257758
7,46,776,20.51932942,308,8.144269924
7,47,726,38.85885564,95,5.084836482
7,48,334,15.84139632,131,6.213242269
7,49,1180,57.98810752,119,5.847953216
7,50,133,26.73904302,32,6.433453961
7,51,957,21.79309088,305,6.945551431
7,52,3283,29.44817193,501,4.49391841
7,53,276,35.41639933,50,6.416014372
7,54,654,24.61144771,199,7.488804426
7,55,112,22.25312935,37,7.35148023
7,56,792,70.98682442,53,4.750380927
7,57,2101,30.39685181,346,5.00585946
7,58,112,25.94394255,20,4.632846884
7,59,8982,45.16359358,648,3.258295328
7,60,525,44.19936016,81,6.819329854
7,61,2232,27.19994151,458,5.581350004
7,62,400,23.43704225,89,5.2147419
7,63,108,28.48101266,18,4.746835443
7,64,2019,46.57439446,260,5.997693195
7,65,3082,27.78629258,669,6.031482717
7,66,1197,58.13784059,111,5.391228326
7,67,371,34.13063477,59,5.427782889
7,68,511,17.14017375,174,5.836380103
7,69,866,17.29267757,348,6.949020548
7,70,250,18.93795925,81,6.135898796
7,71,698,25.01881788,176,6.308469838
7,72,927,29.8310539,123,3.958165728
7,73,236,26.21639636,50,5.554321262
7,74,749,18.39797598,227,5.57588858
7,75,552,21.62162162,171,6.69800235
7,76,1194,47.40540755,100,3.97030214
7,77,1529,26.70602414,191,3.336069726
7,78,4763,25.618959,1100,5.916618706
7,79,845,25.55958863,193,5.837870538
7,80,1149,30.12348268,174,4.561780667
7,81,2090,51.86490309,171,4.243492071
7,82,688,56.07628984,56,4.564349173
7,83,387,22.59854015,98,5.722627737
7,84,220,27.2783633,40,4.959702418
7,85,236,24.22997947,59,6.057494867
7,86,499,23.71109527,142,6.747445949
7,87,1316,37.5399361,201,5.73368325
7,88,43,19.2393736,10,4.474272931
7,89,9516,29.6956477,2469,7.704766095
7,90,117,28.39116719,23,5.581169619
7,91,286,23.50041085,62,5.094494659
7,92,486,11.84066269,126,3.069801437
7,93,1672,41.52180391,238,5.910400318
7,94,1350,35.89757226,173,4.600207408
7,96,2140,29.95856199,275,3.849815209
7,97,1829,21.62091874,697,8.239355037
7,98,162,25.41176471,30,4.705882353
7,99,2077,28.54237381,408,5.606783108
7,100,968,30.51413801,127,4.00340447
7,101,10062,18.18300101,3451,6.236288658
7,102,796,21.09335665,309,8.188250258
7,103,705,25.05597612,181,6.43281089
7,104,283,20.20129916,74,5.28231851
7,105,392,27.82312442,110,7.807509404
7,106,1195,19.48126049,366,5.966645474
7,107,1381,18.54263732,320,4.296628489
7,108,2184,22.14605853,710,7.199497049
7,109,1686,49.54743153,190,5.583637005
7,110,172,25.54202554,45,6.682506683
7,111,1279,35.0516594,182,4.987804544
7,112,1798,61.96581197,170,5.858836504
7,113,250,49.29022082,30,5.914826498
7,114,691,39.98379817,104,6.017822011
7,115,468,40.86979303,34,2.969172998
7,116,455,46.16477273,43,4.362824675
7,117,455,65.94202899,46,6.666666667
7,118,186,40.92409241,5,1.100110011
7,119,235,72.41910632,18,5.546995378
7,120,0,0,0,0
7,121,0,0,0,0
7,122,0,0,0,0
7,123,0,0,0,0
7,124,0,0,0,0
7,125,0,0,0,0
8,1,271,23.65366152,35,3.054900934
8,2,371,16.63527935,66,2.959375841
8,3,129,15.34070639,43,5.113568795
8,4,167,15.625,25,2.339071856
8,5,512,21.35557873,59,2.460896767
8,6,78,12.97621028,23,3.826318416
8,7,535,30.27387958,56,3.168854685
8,8,407,28.33867149,36,2.506614678
8,9,836,29.06208719,178,6.187860669
8,10,443,19.79622844,106,4.736795067
8,11,884,18.1340773,247,5.066874538
8,12,747,84.93462194,36,4.093234792
8,13,174,16.43525078,32,3.022574856
8,14,22,9.632224168,6,2.626970228
8,15,15,8.923259964,5,2.974419988
8,16,50,12.55650427,17,4.269211452
8,17,2879,18.61755443,1226,7.928142319
8,18,60,11.08237902,30,5.541189509
8,19,12669,15.45861535,11833,14.43853465
8,20,110,13.03163132,21,2.487856889
8,21,2210,16.02203937,1343,9.736470076
8,22,22,7.557540364,17,5.839917554
8,23,172,29.19212492,18,3.054989817
8,24,39,9.906019812,21,5.334010668
8,25,68,7.884972171,66,7.653061224
8,26,27,8.413836086,12,3.739482705
8,27,1437,28.91988166,199,4.004910544
8,28,59,9.135955404,65,10.06503561
8,29,1954,36.52404718,120,2.24303258
8,30,169,18.78195154,24,2.667259391
8,31,627,15.82294453,228,5.753798011
8,32,1827,17.06503769,974,9.097617246
8,33,25,23.83222116,1,0.953288847
8,34,59,8.508797231,35,5.047591578
8,35,263,24.0116863,37,3.378069935
8,36,699,16.9392948,180,4.362050164
8,37,22149,16.62674317,7242,5.436402276
8,38,74,14.94044014,17,3.432263275
8,39,46,11.42857143,20,4.968944099
8,40,403,13.60980717,107,3.613522002
8,41,55,28.6309214,3,1.561686622
8,42,16,9.993753904,8,4.996876952
8,43,36,11.59793814,15,4.832474227
8,44,57,12.66948211,14,3.111802623
8,45,633,14.44117446,143,3.262382223
8,46,267,32.00287666,8,0.95888769
8,47,97,18.26054217,7,1.317771084
8,48,362,15.82167832,162,7.08041958
8,49,47,16.4970165,3,1.053001053
8,50,1048,17.66182989,404,6.80856801
8,51,167,22.13093029,12,1.590246488
8,52,390,14.82664234,158,6.006690998
8,53,75,15.62825589,18,3.750781413
8,54,246,30.70394408,18,2.246630055
8,55,206,12.27286268,33,1.966041108
8,56,22,9.843400447,5,2.237136465
8,57,35,15.28384279,9,3.930131004
8,58,35,11.73315454,7,2.346630908
8,59,83,17.46265517,22,4.628655586
8,60,240,23.01716697,38,3.64438477
8,61,31,8.465319498,18,4.915346805
8,62,458,14.16860015,113,3.495746326
8,63,75,12.07535019,25,4.025116728
8,64,33,17.6565008,12,6.420545746
8,65,601,29.48101638,86,4.218581379
8,66,217,26.46341463,12,1.463414634
8,67,76,14.88736533,21,4.113614104
9,2,4663,11.24397472,1693,4.082360969
9,3,5868,9.458170002,352,0.567361254
9,4,2979,15.98253135,459,2.462565253
9,5,13551,11.42799796,3977,3.353933134
9,6,4240,11.0323007,374,0.973132185
9,7,22088,12.16442907,3659,2.015105304
9,8,2837,11.8660231,681,2.848347457
9,9,2221,17.00846977,367,2.810494555
9,10,8333,11.46163728,16173,22.24517698
9,11,5119,14.20898505,601,1.668216452
9,12,7490,11.51303401,748,1.149766281
9,13,5168,12.452802,916,2.207191686
9,14,3474,9.013099349,10779,27.96551465
9,15,5924,11.13887682,34831,65.49260949
9,16,4246,11.38676657,843,2.260726382
9,17,4898,11.36484925,900,2.088273647
10,1,499,15.89121366,208,6.623992866
10,2,73,17.70984959,10,2.426006793
10,3,71,15.67328918,19,4.194260486
10,4,623,18.50641635,160,4.752851711
10,5,10974,18.84702379,3972,6.821612765
10,6,207,19.47502117,41,3.857371343
10,7,6236,19.01306462,1881,5.73501837
10,8,661,19.41148831,233,6.842476213
10,9,168,16.55335501,37,3.645679377
10,10,49,11.48886284,26,6.096131301
10,11,63,11.93181818,35,6.628787879
10,12,2616,18.54753515,1019,7.224747063
10,13,571,22.71551896,142,5.649043243
10,14,2164,64.79817942,68,2.036171997
10,15,213,17.16219483,92,7.412778986
10,16,364,19.68844656,105,5.679359585
10,17,144,14.95948473,53,5.505921463
10,18,236,20.84805654,79,6.978798587
10,19,57,10.94470046,14,2.688172043
10,20,210,17.60710992,103,8.635868198
10,21,214,20.43349566,76,7.256755466
10,22,412,16.53423228,173,6.942772293
10,23,1280,26.03636955,198,4.027500915
10,24,309,24.16327807,108,8.445417579
10,25,49,14.27323041,20,5.825808331
10,26,336,17.06363313,41,2.082169519
10,27,120,20.17824113,42,7.062384395
10,28,219,18.47321805,115,9.700548292
10,29,48,22.00825309,22,10.087116
10,30,22,12.87302516,7,4.095962551
10,31,128,18.27788091,39,5.569041839
10,32,942,20.94916159,267,5.937819686
10,33,127,18.78420352,39,5.768377459
10,34,637,24.15807039,48,1.82038835
10,35,185,17.21731038,82,7.631456491
10,36,356,16.00431577,110,4.945153749
10,37,217,25.28842792,28,3.263022958
10,38,537,25.42974854,180,8.523938059
10,39,612,23.45546528,182,6.975318105
11,1,1747,20.71574254,368,4.363705355
11,2,1815,16.64679446,861,7.896909108
11,3,3887,24.23573571,1825,11.37901149
11,4,1164,18.06527711,276,4.283519315
11,5,1712,20.06587044,373,4.37182808
11,6,90,16.04278075,20,3.565062389
11,7,8207,17.51876858,4993,10.65812252
11,8,709,19.08736034,167,4.495894468
11,9,1763,22.66241612,370,4.75615086
11,10,188,16.08074587,56,4.790009409
11,11,1601,18.11147437,383,4.332726224
11,12,578,21.16595869,151,5.52951516
11,13,608,26.06756989,71,3.044074773
11,14,3555,23.9922253,746,5.034655437
11,15,3276,19.07879028,1009,5.876220815
11,16,415,20.62931849,112,5.567430531
11,17,11084,20.93532789,5857,11.06263222
11,18,635,17.35731467,181,4.947518041
11,19,1226,24.11866541,254,4.996852376
11,20,29044,20.21886834,9899,6.89115059
11,21,707,14.32217811,318,6.441941496
11,22,573,25.26120883,93,4.099986774
11,23,2847,18.98810159,902,6.015900117
11,24,247,22.11478199,94,8.416151849
11,25,1637,23.79533396,240,3.488625627
11,26,1406,24.81687406,234,4.130262113
11,27,4348,16.67612721,1597,6.125063283
11,28,1414,14.56920889,700,7.212479651
11,29,870,23.44823869,136,3.665471795
11,30,2456,22.96357244,458,4.282294861
11,31,2618,23.05186229,454,3.99753456
11,32,1657,22.88326359,377,5.206391294
11,33,2760,23.86387217,537,4.643079477
11,34,128,25,30,5.859375
11,35,1675,21.1452521,410,5.175852753
11,36,101,15.14242879,48,7.196401799
11,37,3975,22.97369151,853,4.929951914
11,38,215,18.46920368,58,4.982389829
11,39,574,16.1367406,222,6.241039049
11,40,410,22.55845942,60,3.301237964
11,41,892,15.04089031,358,6.036590507
11,42,2860,20.27534773,753,5.338229664
11,43,455,22.95660949,92,4.641775984
11,44,1165,20.88487326,207,3.710874476
11,45,201,17.38754325,53,4.584775087
11,46,1256,17.74462434,447,6.315164872
12,1,12008,15.200558,5348,6.769868767
12,2,838,33.48383746,130,5.194390059
12,3,888,23.24424783,148,3.874041306
12,4,798,42.06420326,54,2.846449844
12,5,196,29.5314148,42,6.328160313
12,6,281,22.68141093,71,5.730890306
12,7,828,25.7294677,193,5.997327616
12,8,186,22.16924911,38,4.52920143
12,9,216,37.85488959,31,5.432877673
12,10,874,33.18021336,130,4.935272009
12,11,1188,19.37504077,314,5.12101246
12,12,1796,28.64890732,231,3.684798213
12,13,321,22.24686395,59,4.088987456
12,14,235,15.64684733,95,6.32532126
12,15,215,16.94514502,76,5.989911728
12,16,227,17.42802303,37,2.840690979
12,17,400,27.19793296,111,7.547426396
12,18,319,23.39395717,70,5.133470226
12,19,447,30.92141671,109,7.540121749
12,20,732,38.82259348,91,4.82630602
12,21,1312,17.8600599,322,4.383337871
12,22,927,22.03522784,208,4.944258242
12,23,654,25.22953476,146,5.63228146
12,24,211,30.1127444,29,4.138718424
12,25,419,27.72080715,56,3.704928879
12,26,155,16.91032075,70,7.636919049
12,27,432,20.198242,132,6.171685057
12,28,3337,27.62645914,589,4.876231476
12,29,5993,24.79345681,1400,5.791897136
12,30,541,26.81536555,65,3.22180917
12,31,165,26.18631963,40,6.348198699
12,32,1109,30.31214126,80,2.186628765
12,33,378,26.26276662,97,6.739387202
12,34,728,19.48399529,331,8.858794562
12,35,2781,19.81291366,1418,10.10237741
12,36,304,28.10910772,28,2.588996764
12,37,121,18.32500379,36,5.452067242
12,38,2121,17.94249266,703,5.946993089
12,39,479,19.66015433,166,6.813331144
12,40,661,26.7394822,105,4.247572816
12,41,846,28.58204669,146,4.932599074
12,42,586,33.10360411,70,3.95435544
12,43,934,49.22006745,63,3.319983137
12,44,227,19.95428973,63,5.537974684
12,45,747,30.21477976,128,5.177365206
12,46,1687,27.5176981,268,4.371513392
12,47,156,22.35597592,23,3.296073373
12,48,878,19.52022055,212,4.713310656
12,49,191,16.52535041,66,5.710330507
12,50,902,24.35533954,165,4.455245038
12,51,840,24.18797512,172,4.952775858
12,52,1207,28.49386213,170,4.013220019
12,53,1148,23.66961506,244,5.030824107
12,54,773,27.59827198,50,1.785140491
12,55,1835,17.63524358,604,5.804734126
12,56,1046,23.73012092,211,4.786859956
12,57,1323,21.31430136,346,5.574261733
12,58,1114,20.71825773,281,5.226059625
12,59,686,22.51394815,207,6.793567443
12,60,269,20.49055454,74,5.636806825
12,61,809,20.19571621,251,6.265914424
12,62,897,42.10081667,46,2.15901624
12,63,207,20.76853617,48,4.815892445
12,64,254,22.09656372,90,7.829491083
12,65,179,25.22547914,26,3.664036077
12,66,2960,36.35515052,430,5.281322541
12,67,566,25.94069389,140,6.416426051
12,68,500,19.44617299,151,5.872744244
12,69,417,34.06862745,51,4.166666667
12,70,158,22.31953666,49,6.921881622
12,71,651,23.17633237,118,4.200932749
12,72,305,29.00342335,50,4.754659566
12,73,445,23.65385638,77,4.092914474
12,74,550,24.35028999,130,5.755523089
12,75,1190,25.78101304,278,6.022791282
12,76,1217,37.11271042,119,3.628933886
12,77,302,23.38909542,175,13.55328377
12,78,1314,69.97550325,23,1.224837576
12,79,488,31.12641919,92,5.86809542
12,80,186,25.95590287,53,7.396036841
12,81,274,26.04067668,55,5.227143129
13,1,461,22.96159785,62,3.088110774
13,2,1259,31.02284208,152,3.74541064
13,3,925,17.03530452,344,6.335291626
13,4,184,20.45808317,36,4.002668446
13,5,226,13.25124597,82,4.807974201
13,6,260,13.77191589,107,5.667673076
13,7,130,11.51053657,60,5.312555339
13,8,780,18.32577591,236,5.544721942
13,9,241,13.87130195,51,2.935420744
13,10,373,13.86410943,80,2.973535534
13,11,322,16.55356776,96,4.93522517
13,12,447,16.59242762,119,4.41722346
13,13,569,18.30877148,110,3.539481305
13,14,180,10.61195614,109,6.426128994
13,15,304,16.4975308,74,4.015846312
13,16,1062,19.48623853,186,3.412844037
13,17,196,15.97261837,62,5.052562953
13,18,409,18.25729846,98,4.37460941
13,19,293,16.80431292,63,3.61321404
13,20,21,7.5,19,6.785714286
13,21,215,16.09642884,34,2.54548177
13,22,203,14.67823572,44,3.181489516
13,23,384,11.3270995,123,3.628211557
13,24,325,18.91514376,73,4.24863229
13,25,237,10.47699041,128,5.658458954
13,26,215,16.82447766,42,3.286642147
13,27,364,15.44794805,93,3.946865849
13,28,2516,20.47109556,762,6.1999105
13,29,654,14.77865907,235,5.310374438
13,30,1529,17.70434098,665,7.700056737
13,31,174,13.58950328,96,7.497656982
13,32,167,15.27485594,55,5.030641178
13,33,27,8.455997495,25,7.82962731
13,34,143,14.52809103,55,5.587727319
13,35,243,21.26170269,82,7.174730948
13,36,113,12.06749252,45,4.805638616
13,37,294,13.59663321,136,6.289599038
13,38,139,17.41854637,28,3.50877193
13,39,170,12.26197346,40,2.885170225
13,40,135,12.91618829,51,4.879448909
13,41,633,14.77798011,224,5.229490592
13,42,161,14.36345794,46,4.103845124
13,43,93,14.06108255,32,4.838221953
13,44,216,13.78782076,85,5.425762798
13,45,128,14.28093272,32,3.570233181
13,46,637,16.25788009,160,4.083611955
13,47,55,10.89324619,33,6.535947712
13,48,3933,14.68293375,4342,16.20983939
13,49,359,19.67770226,58,3.179127384
13,50,377,16.96898771,100,4.501057749
13,51,2140,16.79696085,253,1.985808923
13,52,451,14.06869015,113,3.524971145
13,53,257,14.16992887,102,5.623862822
13,54,422,12.87645318,112,3.417447289
13,55,267,16.6729112,69,4.308729861
13,56,592,17.67427974,417,12.44961935
13,57,306,20.60467309,38,2.558750253
13,58,226,13.40053365,73,4.328490958
13,59,534,15.22799213,144,4.106424844
13,60,323,18.77252121,89,5.172614204
13,61,638,12.34902447,345,6.677764014
13,62,623,21.39055794,92,3.158798283
13,63,1349,16.73448122,336,4.168113928
13,64,136,13.68209256,54,5.432595573
13,65,170,15.2987761,35,3.14974802
13,66,193,16.56083748,33,2.831645787
13,67,777,16.1790734,176,3.664757939
13,68,294,20.94464629,51,3.633254969
13,69,1958,20.09008732,318,3.262843599
13,70,280,16.32367516,75,4.372412989
13,71,120,12.30390649,45,4.613964934
13,72,112,10.92896175,32,3.1225605
13,73,698,19.18531142,164,4.5077236
13,74,431,16.10733239,90,3.363480081
13,75,229,17.31176293,30,2.267916541
13,76,1484,14.28035297,977,9.401553133
13,77,2886,19.0389487,835,5.508496939
13,78,303,15.89133057,54,2.83211832
13,79,91,12.43169399,40,5.464480874
13,80,439,18.5961791,78,3.304104715
13,81,763,23.52252058,208,6.412430249
13,82,292,16.18984254,88,4.879130628
13,83,616,15.73716884,141,3.602176634
13,84,678,17.60307405,179,4.647419254
14,1,487,22.96519853,110,5.187211167
14,2,414,17.8133471,127,5.464480874
14,3,379,17.45417703,131,6.032974118
14,4,115,20.73940487,51,9.197475203
14,5,357,24.37192791,76,5.188421628
14,6,1024,17.85838856,457,7.970003488
14,7,154,17.31115108,64,7.194244604
14,8,1596,21.91946382,373,5.122781959
14,9,431,24.56540325,105,5.984611
14,10,167,25.09391435,36,5.409466566
14,11,111,20.55555556,46,8.518518519
14,12,47,11.42162819,48,11.66464156
14,13,1316,22.80090788,337,5.838834312
14,14,122,14.74142098,70,8.458192363
14,15,1049,18.22477805,392,6.810403238
14,16,828,21.62388029,237,6.189443995
14,17,231,18.24068225,83,6.554011371
14,18,1304,20.28971977,517,8.044313744
14,19,237,34.75073314,24,3.519061584
14,20,198,19.74274604,38,3.789011866
14,21,355,16.53084983,133,6.193247963
14,22,779,19.96412096,144,3.690415172
14,23,1823,18.13316888,638,6.346111763
14,24,502,19.17933827,237,9.054787193
14,25,376,20.78381516,113,6.246199768
14,26,101,17.02342828,47,7.921793359
14,27,317,18.3004272,84,4.849324558
14,28,42,19.34592354,20,9.212344542
14,29,337,18.93790391,102,5.731947176
14,30,1036,21.21255554,414,8.47683204
14,31,69,18.29753381,14,3.712543092
14,32,145,24.93980048,43,7.395940832
14,33,402,19.02328223,136,6.43573727
14,34,56,26.89721422,20,9.606147935
14,35,1063,20.68254339,266,5.175500039
14,36,364,19.53628167,111,5.957492486
14,37,452,18.95575592,179,7.506814846
14,38,81,18.7369882,27,6.245662734
14,39,23026,15.40005979,18161,12.14629054
14,40,177,17.21120187,34,3.306106573
14,41,83,13.64234057,45,7.396449704
14,42,204,23.23197813,62,7.060699237
14,43,359,15.32354448,108,4.609868533
14,44,976,23.77009255,128,3.117389187
14,45,394,20.73138648,109,5.735332807
14,46,800,25.04069112,163,5.102040816
14,47,520,22.72627945,137,5.987500546
14,48,352,18.89020071,118,6.332510465
14,49,116,12.15295966,25,2.619172342
14,50,977,23.17142586,248,5.881794896
14,51,364,27.53820548,64,4.841882282
14,52,101,18.31368994,53,9.610154125
14,53,3253,21.14850764,836,5.435029938
14,54,95,17.27586834,52,9.456264775
14,55,478,22.41921111,203,9.521129403
14,56,16,6.356773937,7,2.781088598
14,57,80,21.30492676,25,6.657789614
14,58,220,15.44401544,109,7.651807652
14,59,259,19.58412098,69,5.217391304
14,60,129,21.37885317,41,6.794829301
14,61,818,45.23335545,73,4.03671754
14,62,52,14.54952434,33,9.233351987
14,63,1768,19.01750083,576,6.195746878
14,64,662,21.99554773,109,3.621623418
14,65,188,15.51283109,63,5.198448717
14,66,1333,27.53677078,295,6.094034044
14,67,4695,18.36272543,1473,5.761085102
14,68,216,18.58384238,102,8.775703347
14,69,149,17.14417213,58,6.67357036
14,70,3624,26.21793295,507,3.667906183
14,71,85,26.76322418,13,4.093198992
14,72,181,27.23032947,35,5.265533323
14,73,1565,23.99607476,340,5.213204741
14,74,354,22.90669082,88,5.694318623
14,75,71,18.87293993,24,6.379585327
14,76,66,19.38325991,21,6.167400881
14,77,493,18.74097164,244,9.275450468
14,78,618,19.82930116,192,6.160559584
14,79,289,20.62665049,101,7.208621797
14,80,95,16.50738488,36,6.255430061
